id,location,story,c1,c2,c3,nav,win,lose,stranger,friend
1,Bangalore,"The dream city for most Indians, Bangalore will never cease to mesmerise you with its sheer perfection. Also known as the IT hub of India, Bangalore is home to leading startups.",4,7,2,"Press [1] for Chennai, [2] for Coimbatore, or [3] for Pune",0,0,0,0
2,Pune,"With an extensive student population, Pune is popularly known as the college town of India. It has a range of excellent restaurants, happening nightlife and an overall young atmosphere.",6,5,22,"Press [1] for Mumbai, [2] for Surat, or [3] for Nagpur",0,0,0,1
3,Ahmedabad,"Also known as Amdavad, this is an industrial and commercial city but a beautiful, popular destination for tourists who want to get the taste of Gujarat.",,,,,0,1,0,0
4,Chennai,"The fourth-largest city in India, Chennai is convoluted with temples, churches and beaches. The roads are always bustling with activity, and the nightlife is as every youth dreams of.",1,21,,"Press [1] for Bangalore, [2] for Visakhapatnam",0,0,1,1
5,Surat,"Ranking as the 9th largest metropolitan in India, Surat is the second most populated city in the state of Gujarat. Known as 'the city of flyovers', it is a commercial centre of textiles and diamonds.",2,8,6,"Press [1] for Pune, [2] for Vadodara, or [3] for Mumbai",0,0,0,0
6,Mumbai,"The northeast of the city of Mumbai, past the Thane district, is famously known as Navi Mumbai.",14,1,13,"Press [1] for New Delhi, [2] for Bangalore, or [3] for Kolkata",0,0,1,1
7,Coimbatore,"Often termed as 'Manchester of South India', the city is photographically situated on the banks of River Noyyal and has an array of natural attractions.",16,19,,"Press [1] for Kochi, [2] for Trivandrum",0,0,1,0
8,Vadodara,"Home to some of the most exemplary displays of architecture, Vadodara is a fitting memorial to Maratha leader Sayaji Rao Gaekwad III.",9,3,5,"Press [1] for Indore, [2] for Ahmedabad, or [3] for Surat",0,0,0,1
9,Indore,The charm of this city lies in its rich cultural heritage which has been preserved over centuries. It is the city that presents a blend of historical past and a future modernisation.,,,,,0,1,1,0
10,Bhubaneswar,"Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business.",12,21,13,"Press [1] for Jamshedpur, [2] for Visakhapatnam, or [3] for Kolkata",0,0,0,0
11,Hyderabad,"A densely populated metropolitan city with people bustling in and out of cafes, offices, temples and even nowhere, Hyderabad is fast turning into the New York city of South India.",,,,"Press [1] for Visakhapatnam, [2] for Chennai",0,0,0,1
12,Jamshedpur,"The most significant city in Jharkhand, Jamshedpur is an appealing destination with its aesthetically planned infrastructure and landscape.",9,26,,"Press [1] for Indore, [2] for Bhopal",0,0,0,0
13,Kolkata,"Labelled as the 'City of Joy', the 'Cultural capital of India', Kolkata (formerly known as Calcutta) is a city with character and remnants of British Raj visible in its Victorian-style architecture, trams and the nomenclature of the place.",14,23,18,"Press [1] for New Delhi, [2] for Amritsar, or [3] for Dehradun",0,0,1,1
14,New Delhi,"From historical monuments to crowded shopping malls, from Mughal gardens to Delhi University campus, the capital city has multiple personalities making it 'The good, the bad and the ugly'.",17,23,6,"Press [1] for Chandigarh, [2] for Amritsar, or [3] for Mumbai",0,0,0,0
15,Jaipur,"Jaipur, the 'Pink City' is one of the most royal, majestic and colourful cities of India with a solid historical background and vibrant culture",24,25,14,"Press [1] for Gurgaon, [2] for Noida, or [3] for New Delhi",0,0,1,0
16,Kochi,"Situated on beach-side, Kochi is a bustling commercial port with a trading history that dates back to at least 600 years and is till today the financial capital of Kerala.",21,7,,"Press [1] for Visakhapatnam, [2] for Coimbatore",0,0,0,1
17,Chandigarh,"Designed by the ace architect Le Corbusier consisting of 47 self-contained sectors, India's first planned city is known for its unique blend of urbane architecture and natural bliss.",,,,,1,0,0,0
18,Dehradun,"This hill town in the foothills of the Shivalik ranges in the Garhwal region with two perennial rivers flowing through it, famous for its historic civilisation and offers a delightful terrain to trekkers.",,,,,0,1,1,0
19,Trivandrum,"The capital of Kerala, Thiruvananthapuram with a tradition that officially dates back to 1000 BC, and located on seven low-hills near the southern tip of India is famous for its pristine beaches, temples and greenery.",6,4,,"Press [1] for Mumbai, [2] for Chennai",0,0,0,1
20,Lucknow,"Referred to as the city of Nawabs, the capital city of Uttar Pradesh, Lucknow is famous for its monuments, food, clothing in all of which you can see the traces of Mughal reign.",,,,,0,1,1,0
21,Visakhapatnam,"Known for its pristine beaches, natural beauty and scenic landscape along with a rich cultural and historical heritage, Visakhapatnam, better known as Vizag is a port city and a gem of South India.",4,10,,"Press [1] for Chennai, [2] for Bhubaneswar",0,0,0,0
22,Nagpur,"Commonly associated with its delectable juicy varieties of oranges, Nagpur is also the winter capital of Maharashtra and is known for its rich cultural heritage.",26,9,12,"Press [1] for Bhopal, [2] for Indore, or [3] for Jamshedpur",0,0,1,0
23,Amritsar,"Home to the famous Golden Temple, the historical city of Amritsar, is a renowned pilgrim centre. Considered as one of the holy places in India, Amritsar will never cease to give away its positive vibes. ",,,,,1,0,1,1
24,Gurgaon,"Also known as Millennium City, Gurgaon is a fast developing industrial city close to New Delhi. When it comes to TechParks and infrastructure, Gurgaon is the hub place.",14,25,15,"Press [1] for New Delhi, [2] for Noida, or [3] for Jaipur",0,0,0,0
25,Noida,"A part of the National Capital Region, Noida, with the inauguration of Budhh international circuit for formula one racing, Sunburn arena where international artists perform.",14,20,11,"Press [1] for New Delhi, [2] for Lucknow, or [3] for Hyderabad",0,0,1,0
26,Bhopal,"Amidst two beautiful lakes, Bhopal is a sprawling city with the right blend of culture, heritage and modern life. ",,,,,0,1,0,0
